ID	VERDICT	CARRIERS	EVIDENCE
O-11	SINGLE-CARRIER	toric-2x2	LANE_O11_MEANFORCE/o11_meanforce.txt: 'system: toric code 2x2, dim 256'; closed form 7.2e-15, <Zbar>=-0.824573 at lambda=0.8
O-13	SINGLE-CARRIER	toric-2x2	REGISTER_V001.md:6096-6130 — PF-2 result, LANE_PF2_DYNAMICAL: toric code 2x2 + 3-qubit bath; fragment table (0.789/0.048/0.679, weight-1 all zero) closes O-13
O-14	SINGLE-CARRIER	bouquet	LANE_T8_CARRIERS/t8_carriers.txt: torus2x2+capping disk [[8,1,2]], both distances 2 (the program's non-manifold carrier; bouquet-proper disqualified, token used for the non-manifold complex)
O-15	SINGLE-CARRIER	toric-2x2	Row's chi(t) 0.975/0.787/0.908 = LANE_PF2_DYNAMICAL/pf2_history.txt (toric 2x2 + 3-qubit bath); dips shrink to nq=7 on [[5,1,3]] non-CSS (no canonical token): LANE_T13_BATHSIZE/t13_bathsize.txt; REGISTER:7038 [2nd carrier refuted: Bath-size result measured only on [[5,1,3]] (no canonical token); toric-2x2 gives only the nq=3 recurrence premise — register says larger toric baths infeasible. One carrier tests the claim.]
O-16	TWO-CARRIER	steane-713; [[5,1,3]]	LANE_O16_DISSIPATIVE/o16_dissipative.txt: [[5,1,3]] (decay 2.0000 vs static 2.9979) and [[7,1,3]] Steane (2.0000 vs 2.9835); [[4,2,2]] arm VOID; [[5,1,3]] lacks canonical token
O-17	SINGLE-CARRIER	noncss-513	LANE_O17_TENSION/o17_resolve.txt:4 'carrier [[5,1,3]], dim 32' — commutant dim 1 diagnosis on the [[5,1,3]] non-CSS code only (no canonical token exists for it)
O-18	SINGLE-CARRIER	toric-2x2	LANE_O18_GAUGENOISE/o18_gauge.txt (toric 2x2, dim 256; chi=0 exactly under gauge invariance + locality below d; PF-5 coupling non-invariant at 32.0000); REGISTER_V001.md:6517-6600
O-2	TWO-CARRIER	toric-2x2; steane-713	LANE_O23_SPLITTING/o2_topological.OUT.txt MEASURED 2: slope=d on 5 codes incl toric 2.0000 and Steane 3.0000; REGISTER_V001.md:5663
O-20	SINGLE-CARRIER	toric-2x2	LANE_O20_HOMOLOGY/o20_homology.txt + o20b_pairing.txt — toric 2x2 only; chi>0 iff odd pairing, four for four
O-22	SINGLE-CARRIER	toric-2x2	REGISTER_V001.md:7183-7212: closure measurement (0 flippers vs 768 control) on torus 2x2 + 3x3 — sizes of one carrier; the earlier 8-flipper table's second carrier does not carry the registered resolution
O-24	SINGLE-CARRIER		LANE_O24_MINIMALITY/o24_minimality.txt:4-27: single 3-qubit toy carrier (H=0, records Z_i), not any canonical carrier; flat writer 0.000e+00, curvature +1 site
O-27	NOT-CARRIER-SHAPED		LANE_O27_ACTION/o27_action.py: dim=8, H0=0 abstract record model, no lattice/carrier; the row defines the action and minimises it carrier-free (4.4429=4pi/sqrt2)
O-29	SINGLE-CARRIER	toric-2x2	LANE_O29_NONABELIAN/o29_s3.txt (S_3 minimal torus, 18/36) + o29b_transport.txt (Z_2: 0/4, order 0/8; S_3: 54/216); contrast pair, not replication; S_3 has no canonical token [2nd carrier refuted: Files exist, numbers match, but AUDIT 2/O-35: minimal-torus D(S3) has NO records (clause iv unsatisfiable, mult [8,13,15]); S_3 run tests flux conjugation, not O-29's record claim. Not a second carrier.]
O-30	SINGLE-CARRIER	DD4	LANE_O30_DENSITY/o30_density.txt: conjugacy-class transport walks on S3,D4,A4,S4,S5 (one non-abelian-double family; abelian Z2/Z4/Z6 controls identically 0); REGISTER:8236-8258 later voids 'records' on D(S3)
O-31	SINGLE-CARRIER	toric-2x2	LANE_O31_PAIRING/o31_pairing.txt: Z_2 toric L=2..6, extent to 16 (8x), genus 1..8 — all one abelian toric family
O-32	SINGLE-CARRIER	spin-chain	LANE_O32_MAGNITUDE/o32_crowding.txt: 'carrier: k qubits, H = 0', records Z_j sharing one 3-qubit bath (nearest token spin-chain); chi 0.789366->0.081033, spectator control unmoved; REGISTER:8058
O-35	TWO-CARRIER	toric-2x2; DD4	LANE_O35_NONABELIAN_CARRIER/o35_carrier.txt:4-33: exact multiplicities on Z_2/Z_3/Z_4 doubles (abelian tori) and D_4/S_3 doubles; D(D_4) admits records, |G|=2^k law separated by controls
O-36	SINGLE-CARRIER	DD4	LANE_O36_EXACT/o36_reconcile.txt + o36_whyfail.txt: result is about D(D_4); D(Q_8)/D(D_8) are the same non-abelian-double class and D(Z_2)/D(Z_2xZ_2)/D(Z_3) are abelian controls
O-37	SINGLE-CARRIER	spin-chain	LANE_SIGN_DEFINITE/sd2_crowding.txt: record_model qubit register + shared bath, n=4: 9 pairs x 3 couplings = 27/27 d>0; C-48 Holevo bound is borrowed theory, not a second carrier
O-38	SINGLE-CARRIER	spin-chain	LANE_O38_GAPLESS/o38_falloff.txt (open TFIM chain bath, xi fits; 12-site X-operator rerun); no verdict there per ledger; C-63's power law is a different row/instrument
O-44	SINGLE-CARRIER	toric-2x2	LANE_O44_ADMISSIBLE/o44_driven.txt: n=4 H=-(XXXX+ZZZZ) = [[4,2,2]] minimal-toric stabilizer + n=6 same family with configuration energy; +2.600000 witness (C-57 search)
O-47	SINGLE-CARRIER	spin-chain	LANE_O47_BOTH/o47_both.txt: 2-qubit H=Z1Z2 Ising pair + H=0 control; O-48 correction also on ZZ chains/grids — same spin-chain class
O-54	TWO-CARRIER	toric-2x2; NAND-floating-gate	LANE_O54_A_CORNER + LANE_O54_C_ATTEMPT (toric venues L=3..12); LANE_O54_B_WORLD/o54b_world.OUT.txt (world tier built on T-34's FG image-monopole coupling, falloff shown to be the coupling's); LANE_O54_D_JUDGE (C-80)
O-8	NOT-CARRIER-SHAPED		LANE_O8_NONABELIAN/o8_flat_available.txt: generic C^8..C^64 blocks, H=0; lane's own read: closed 'from inside the definition rather than by exhausting carriers' — no canonical carrier
O-9	SINGLE-CARRIER	toric-2x2	LANE_PF5_LOCALBATH/pf5_localbath.txt (dim 256 toric, slope 3.90~2d, single term exact 0); LANE_O11_MEANFORCE (toric 2x2)
PF-2	SINGLE-CARRIER	toric-2x2	LANE_PF2_DYNAMICAL/pf2_history.txt: dim 256, degeneracy 4 (toric 2x2); chi 0->0.908, fragments 0.789/0.048/0.679
PF-3	SINGLE-CARRIER	toric-2x2	Deciding count = 0 flippers at toric 3x3 (LANE_O4_ADMISSIBLE/o4_L3.txt); Balance Lemma is a proof; PF-3B bouquet retest indicted the carrier (171 flippers, d=1) and theta-graph positive control FAILED (pf3_admissible.txt)
PF-5	SINGLE-CARRIER	toric-2x2	LANE_PF5_LOCALBATH/pf5_localbath.txt:4 (carrier dim 256, deg 4, d=2 = toric 2x2; slope 3.8988 vs 4)
PF-7	SINGLE-CARRIER	toric-2x2	LANE_T6_MULTIRECORD/t6_multirecord.txt (channel map Zbar/Zbar2, formation independence on toric 2x2); GROUNDED says 'on one carrier'. Later C4/C8/C16 family advance is generic-model, not a canonical carrier
PF-9	NOT-CARRIER-SHAPED		model/validate_model.txt: 12 tests on abstract objects (C^3..C^16, diag H, theta graph); suite is defined by being carrier-free ('no lattice, no gauge group... was supplied') — instrument validation of the model itself
T-I.4	SINGLE-CARRIER	toric-2x2	REGISTER_V001.md:6945-6977 (T-6 chi=0.908 on toric 2x2); LANE_T9_CARRIERINDEP/t9_sweep.txt:42 + t9_sweep.py:71-72 (formation_independence re-run PASS on [[4,2,2]] CSS non-toric) [2nd carrier refuted: Second carrier is not steane-713 (k=1, cannot run composition) but [[4,2,2]] — an abelian stabilizer code, the toric code's smallest instance, so same-carrier under taxonomy. One-carrier only.]
T-III.6	SINGLE-CARRIER	toric-2x2	REGISTER_V001.md:5873-5952; LANE_F1_ARROW (toric 2x2 + 4-level bath; I(S:B) invariant 3.686e-14 under 12 system-only unitaries). F-19 identity is textbook; measured instance is one carrier
